OBJECTID,ON10mDEM,UAVDSM,x,y
39,348.136047363281250,345.785369873046875,1288234.674800001084805,11884860.405000001192093
40,348.247680664062500,345.409637451171875,1288178.582999996840954,11884854.584100000560284
41,348.430358886718750,345.066772460937500,1288150.007899999618530,11884837.121599998325109
42,349.668762207031250,347.263275146484375,1288303.466600000858307,11884830.242400001734495
43,350.994476318359375,348.433593750000000,1288331.512500002980232,11884801.667399998754263
44,350.798034667968750,348.742492675781250,1288354.795800000429153,11884792.142299998551607
45,350.645141601562500,348.682189941406250,1288395.541699998080730,11884806.429900001734495
46,350.734100341796875,347.795318603515625,1288422.000100001692772,11884794.788199998438358
47,348.458801269531250,344.912719726562500,1288416.179300002753735,11884757.217300001531839
48,347.122528076171875,343.985961914062500,1288399.245899997651577,11884727.583900000900030
49,347.319763183593750,343.734405517578125,1288356.912500001490116,11884707.475499998778105
50,348.371276855468750,344.016967773437500,1288304.524899996817112,11884700.596299998462200
51,344.740325927734375,342.159271240234375,1288443.696000002324581,11884705.888000000268221
52,345.673309326171875,345.969543457031250,1288584.454599998891354,11884910.146699998527765
53,344.989318847656250,345.093688964843750,1288596.625500001013279,11884926.550900001078844
54,347.042663574218750,348.186431884765625,1288585.512999996542931,11884883.159200001507998
55,348.378051757812500,350.390319824218750,1288588.158799998462200,11884856.171599999070168
56,348.695648193359375,349.690582275390625,1288571.225400000810623,11884825.479899998754263
57,345.744293212890625,345.085601806640625,1288583.925499998033047,11884782.617300000041723
58,343.037994384765625,343.815917968750000,1288618.585900001227856,11884720.175500001758337
59,341.214996337890625,344.915374755859375,1288627.052599996328354,11884705.888000000268221
60,343.288330078125000,344.068084716796875,1288654.569399997591972,11884657.733699999749660
61,343.100280761718750,343.534118652343750,1288685.790200002491474,11884605.346099998801947
62,344.481719970703125,344.241119384765625,1288742.940399996936321,11884504.804299999028444
63,343.529357910156250,341.399627685546875,1288387.868799999356270,11884624.396200001239777
64,344.121490478515625,341.881927490234375,1288421.206399999558926,11884670.433800000697374
65,345.467559814453125,345.264160156250000,1288708.015299998223782,11884231.753699999302626
66,345.084136962890625,345.665588378906250,1288739.765399999916553,11884307.953899998217821
67,346.316528320312500,348.294311523437500,1288772.573799997568130,11884394.208200000226498
68,346.177154541015625,347.051910400390625,1288796.386299997568130,11884452.416700001806021
69,343.108367919921875,341.631896972656250,1288683.673600003123283,11884338.116399999707937
70,342.694580078125000,342.368438720703125,1288688.965300001204014,11884531.791799999773502
71,343.370178222656250,343.241882324218750,1288700.077799998223782,11884427.545800000429153
72,344.956970214843750,346.960784912109375,1288860.415600001811981,11884514.329300001263618
73,344.752929687500000,346.688537597656250,1288908.569899998605251,11884558.250199999660254
74,343.144989013671875,339.749237060546875,1288334.422899998724461,11884555.604400001466274
75,341.992919921875000,344.311340332031250,1289006.995099999010563,11884641.329500000923872
76,341.146545410156250,341.658172607421875,1288975.774199999868870,11884787.909000001847744
77,345.076080322265625,347.966186523437500,1288929.736599996685982,11884841.354899998754263
78,338.677001953125000,340.271545410156250,1288862.452899999916553,11884762.376699998974800
79,339.201293945312500,339.779266357421875,1288792.012699998915195,11884767.398499999195337
80,340.472412109375000,342.111724853515625,1288768.385399997234344,11884951.760499998927116
81,341.950347900390625,343.514984130859375,1288824.344899997115135,11884974.382399998605251
82,343.675720214843750,344.663116455078125,1288867.207500003278255,11884987.876200001686811
83,342.574554443359375,346.826934814453125,1288711.499899998307228,11885110.510800000280142
84,343.339111328125000,345.866912841796875,1288616.249700002372265,11885129.693100001662970
85,347.105590820312500,347.859069824218750,1288765.739600002765656,11885332.099800001829863
